"Section","Subsection","Item","Status","Priority","Notes"
"Top Bar","Display","Visible on desktop (> 768px)","","High",""
"Top Bar","Display","Hidden on mobile (<= 768px)","","High",""
"Top Bar","Display","Background: #253461 (dark blue)","","Medium",""
"Top Bar","Display","Padding: 4px 0 8px 0","","Low",""
"Top Bar","Container","Max width: 1280px","","Medium",""
"Top Bar","Container","Centered on page","","Medium",""
"Top Bar","Container","Display: flex with space-between","","Low",""
"Top Bar","Service Item 1","Free Design Service icon displays","","High",""
"Top Bar","Service Item 1","Icon size: 23x23px","","Low",""
"Top Bar","Service Item 1","Icon color: #23C3FF","","Low",""
"Top Bar","Service Item 1","Text displays correctly","","High",""
"Top Bar","Service Item 2","Free Delivery icon displays","","High",""
"Top Bar","Service Item 2","Icon size: 23x23px","","Low",""
"Top Bar","Service Item 2","Text displays correctly","","High",""
"Top Bar","Service Item 3","Made in Europe icon displays","","Medium",""
"Top Bar","Service Item 3","Text displays correctly","","Medium",""
"Top Bar","Service Item 3","Text changes on tablet < 900px","","Medium",""
"Top Bar","Service Item 4","Sustainable icon displays","","Medium",""
"Top Bar","Service Item 4","Icon color: #10A380 (green)","","Low",""
"Top Bar","Service Item 4","Link works (/collections/sustainable/)","","Medium",""
"Top Bar","Service Item 4","Hidden on tablet < 1024px","","Medium",""
"Top Bar","Google Reviews Badge","Badge displays correctly","","High",""
"Top Bar","Google Reviews Badge","Width: 154px","","Low",""
"Top Bar","Google Reviews Badge","Shows rating (4.9)","","High",""
"Top Bar","Google Reviews Badge","Shows 5 gold stars","","High",""
"Top Bar","Google Reviews Badge","Shows review count (135+ Reviews)","","High",""
"Top Bar","Google Reviews Badge","Badge is clickable","","High",""
"Top Bar","Google Reviews Badge","Scrolls to review section on homepage","","High",""
"Top Bar","Google Reviews Badge","Redirects to /#review-section on other pages","","High",""
"Top Bar","Responsive","All 4 items visible on desktop > 1200px","","Medium",""
"Top Bar","Responsive","4th item hidden on tablet < 1024px","","Medium",""
"Top Bar","Responsive","Entire bar hidden on mobile <= 768px","","High",""
"Sticky Header","Activation","Hidden on mobile (<= 768px) always","","High",""
"Sticky Header","Activation","Visible on desktop (> 769px)","","High",""
"Sticky Header","Activation","Position: fixed, top: 0","","High",""
"Sticky Header","Activation","Appears when scrolled down ~150-200px","","High",""
"Sticky Header","Activation","Transform: translateY(-100%) to translateY(0)","","Medium",""
"Sticky Header","Activation","Transition: 0.3s ease","","Low",""
"Sticky Header","Activation","Box shadow visible","","Medium",""
"Sticky Header","Hamburger Button","Size: 48x48px","","Low",""
"Sticky Header","Hamburger Button","Background: #253461","","Low",""
"Sticky Header","Hamburger Button","Border radius: 16px","","Low",""
"Sticky Header","Hamburger Button","Icon displays (hamburger menu)","","High",""
"Sticky Header","Hamburger Button","Icon size: 24x24px","","Low",""
"Sticky Header","Hamburger Button","Click toggles dropdown","","High",""
"Sticky Header","Hamburger Button","Icon changes to X when active","","Medium",""
"Sticky Header","ALL CATEGORIES Button","Text: ALL CATEGORIES","","Medium",""
"Sticky Header","ALL CATEGORIES Button","Font: Jost, 15px, weight 500","","Low",""
"Sticky Header","ALL CATEGORIES Button","Color: #253461","","Low",""
"Sticky Header","ALL CATEGORIES Button","Hover color: #00AEEF","","Low",""
"Sticky Header","ALL CATEGORIES Button","Triangle indicator rotates 180deg","","Low",""
"Sticky Header","ALL CATEGORIES Button","Click toggles dropdown","","High",""
"Sticky Header","Dropdown Menu","Appears below sticky header","","High",""
"Sticky Header","Dropdown Menu","Background: white","","Low",""
"Sticky Header","Dropdown Menu","Box shadow: 0 4px 20px rgba(0,0,0,0.15)","","Low",""
"Sticky Header","Dropdown Menu","Border radius: 8px","","Low",""
"Sticky Header","Dropdown Menu","Opacity transition smooth","","Low",""
"Sticky Header","Dropdown Menu","Logo displays in header","","Medium",""
"Sticky Header","Dropdown Menu","Logo size: 55px height","","Low",""
"Sticky Header","Dropdown Menu","Two-column layout works","","High",""
"Sticky Header","Dropdown - Left Column","Width: 240px","","Low",""
"Sticky Header","Dropdown - Left Column","Border right: 1px solid #E5E7EB","","Low",""
"Sticky Header","Dropdown - Left Column","Sports menu item displays","","High",""
"Sticky Header","Dropdown - Left Column","Products menu item displays","","High",""
"Sticky Header","Dropdown - Left Column","Themes menu item displays","","High",""
"Sticky Header","Dropdown - Left Column","Menu items height: 65px","","Low",""
"Sticky Header","Dropdown - Left Column","Hover shows submenu in right column","","High",""
"Sticky Header","Dropdown - Right Column","Submenu title displays","","Medium",""
"Sticky Header","Dropdown - Right Column","Title changes on hover","","Medium",""
"Sticky Header","Dropdown - Right Column","Grid layout: 3 cols x 5 rows","","High",""
"Sticky Header","Dropdown - Right Column","Icons display (28x28px)","","Medium",""
"Sticky Header","Dropdown - Right Column","All category links work","","High",""
"Sticky Header","Dropdown - Sports Submenu","All sport categories listed","","High",""
"Sticky Header","Dropdown - Sports Submenu","Icons display correctly","","Medium",""
"Sticky Header","Dropdown - Sports Submenu","All links functional","","High",""
"Sticky Header","Dropdown - Products Submenu","All product categories listed","","High",""
"Sticky Header","Dropdown - Products Submenu","Icons display correctly","","Medium",""
"Sticky Header","Dropdown - Products Submenu","All links functional","","High",""
"Sticky Header","Dropdown - Themes Submenu","All theme categories listed","","High",""
"Sticky Header","Dropdown - Themes Submenu","Icons display correctly","","Medium",""
"Sticky Header","Dropdown - Themes Submenu","All links functional","","High",""
"Sticky Header","Dropdown Close","Click hamburger closes menu","","High",""
"Sticky Header","Dropdown Close","Click outside closes menu","","High",""
"Sticky Header","Search Section","ProductSearch component displays","","High",""
"Sticky Header","Search Section","Width: 50% of header","","Low",""
"Sticky Header","Search Section","Border: 1px solid #253461","","Low",""
"Sticky Header","Search Section","Placeholder visible","","Medium",""
"Sticky Header","Search Section","Search icon visible","","Medium",""
"Sticky Header","Search Section","Typing triggers search","","High",""
"Sticky Header","Search Section","Results dropdown appears","","High",""
"Sticky Header","Icons - Contact","Mail icon displays","","High",""
"Sticky Header","Icons - Contact","Background: #10C99E","","Low",""
"Sticky Header","Icons - Contact","Border radius: 15px","","Low",""
"Sticky Header","Icons - Contact","Icon size: 22x22px","","Low",""
"Sticky Header","Icons - Contact","Hover: background white, icon green","","Medium",""
"Sticky Header","Icons - Contact","Click opens contact popup","","High",""
"Sticky Header","Icons - Account","User icon displays","","High",""
"Sticky Header","Icons - Account","Border: 1px solid #253461","","Low",""
"Sticky Header","Icons - Account","Icon size: 22x22px","","Low",""
"Sticky Header","Icons - Account","Hover: border/icon color #469ADC","","Low",""
"Sticky Header","Icons - Account","Green dot if logged in","","Medium",""
"Sticky Header","Icons - Account","Click goes to account page","","High",""
"Sticky Header","Icons - Wishlist","Heart icon displays","","High",""
"Sticky Header","Icons - Wishlist","Badge shows count","","High",""
"Sticky Header","Icons - Wishlist","Badge position: top -6px, right -6px","","Low",""
"Sticky Header","Icons - Wishlist","Badge background: #10C99E","","Low",""
"Sticky Header","Icons - Wishlist","Click goes to /wishlist/","","High",""
"Sticky Header","Icons - Cart","Cart icon displays","","High",""
"Sticky Header","Icons - Cart","Badge shows item count","","High",""
"Sticky Header","Icons - Cart","Badge styled correctly","","Medium",""
"Sticky Header","Icons - Cart","Count updates when items added","","High",""
"Sticky Header","Icons - Cart","Click goes to /cart/","","High",""
"Mobile Header","Top Bar","Google Reviews Badge displays","","High",""
"Mobile Header","Top Bar","Badge width: 35%","","Low",""
"Mobile Header","Top Bar","Background: #253461","","Low",""
"Mobile Header","Top Bar","Padding: 6px top/bottom","","Low",""
"Mobile Header","Logo","Hercules logo displays","","High",""
"Mobile Header","Logo","Logo width: 40% container","","Low",""
"Mobile Header","Logo","Max width: 140px","","Low",""
"Mobile Header","Logo","Logo links to homepage","","High",""
"Mobile Header","Search Button","Button displays with icon","","High",""
"Mobile Header","Search Button","Icon size: 22x22px","","Low",""
"Mobile Header","Search Button","Background: white","","Low",""
"Mobile Header","Search Button","Border: 1px solid #253461","","Low",""
"Mobile Header","Search Button","Border radius: 5px","","Low",""
"Mobile Header","Search Button","Click opens search overlay","","High",""
"Mobile Header","Contact Button","Button displays with mail icon","","High",""
"Mobile Header","Contact Button","Background: #10C99E","","Low",""
"Mobile Header","Contact Button","Icon size: 22x22px","","Low",""
"Mobile Header","Contact Button","Hover: white bg, green icon","","Low",""
"Mobile Header","Contact Button","Click opens contact popup","","High",""
"Mobile Header","Hamburger Menu","Button displays hamburger icon","","High",""
"Mobile Header","Hamburger Menu","Font size: 22px","","Low",""
"Mobile Header","Hamburger Menu","Background: #253461","","Low",""
"Mobile Header","Hamburger Menu","Color: white","","Low",""
"Mobile Header","Hamburger Menu","Click opens mobile menu","","High",""
"Mobile Header","Search Overlay","Opens when search clicked","","High",""
"Mobile Header","Search Overlay","Full screen coverage","","Medium",""
"Mobile Header","Search Overlay","White background","","Low",""
"Mobile Header","Search Overlay","Close button works","","High",""
"Mobile Header","Search Overlay","ESC key closes overlay","","Medium",""
"Mobile Header","Search Overlay","Input focuses automatically","","Medium",""
"Mobile Header","Mobile Menu Drawer","Opens when hamburger clicked","","High",""
"Mobile Header","Mobile Menu Drawer","Slides in from right","","Medium",""
"Mobile Header","Mobile Menu Drawer","Dark backdrop visible","","Medium",""
"Mobile Header","Mobile Menu Drawer","Body scroll locked","","High",""
"Mobile Header","Mobile Menu Drawer","Sports dropdown works","","High",""
"Mobile Header","Mobile Menu Drawer","Products dropdown works","","High",""
"Mobile Header","Mobile Menu Drawer","Themes dropdown works","","High",""
"Mobile Header","Mobile Menu Drawer","All links work","","High",""
"Mobile Header","Mobile Menu Drawer","Icons display correctly","","Medium",""
"Mobile Header","Mobile Menu Drawer","Close button works","","High",""
"Mobile Header","Mobile Menu Drawer","Click outside closes","","Medium",""
"Desktop Header","Container","Max width: 1280px","","Medium",""
"Desktop Header","Container","Centered on page","","Medium",""
"Desktop Header","Container","Box shadow visible","","Low",""
"Desktop Header","Logo","Displays at 172px width","","Medium",""
"Desktop Header","Logo","2x retina image loads","","Medium",""
"Desktop Header","Logo","Links to homepage","","High",""
"Desktop Header","Logo","Sharp and crisp","","Medium",""
"Desktop Header","Search Bar","Width: 708px","","Low",""
"Desktop Header","Search Bar","Height: 44px","","Low",""
"Desktop Header","Search Bar","Border: 1px solid #253461","","Low",""
"Desktop Header","Search Bar","Border radius: 15px","","Low",""
"Desktop Header","Search Bar","Placeholder text visible","","Medium",""
"Desktop Header","Search Bar","Search icon visible","","Medium",""
"Desktop Header","Search Bar","Typing triggers search","","High",""
"Desktop Header","Search Bar","Results dropdown appears","","High",""
"Desktop Header","Search Bar","Product images in results","","Medium",""
"Desktop Header","Search Bar","Prices display in results","","Medium",""
"Desktop Header","Search Bar","Click product navigates correctly","","High",""
"Desktop Header","Account Icon","Icon displays","","High",""
"Desktop Header","Account Icon","Size: 44x44px","","Low",""
"Desktop Header","Account Icon","Border: 1px solid #253461","","Low",""
"Desktop Header","Account Icon","Border radius: 15px","","Low",""
"Desktop Header","Account Icon","Icon size: 22x22px","","Low",""
"Desktop Header","Account Icon","Hover: border color #469ADC","","Low",""
"Desktop Header","Account Icon","Links to /my-account/","","High",""
"Desktop Header","Wishlist Icon","Heart icon displays","","High",""
"Desktop Header","Wishlist Icon","Size: 44x44px","","Low",""
"Desktop Header","Wishlist Icon","Badge shows count","","High",""
"Desktop Header","Wishlist Icon","Badge position: top-right -6px","","Low",""
"Desktop Header","Wishlist Icon","Badge bg: #10C99E","","Low",""
"Desktop Header","Wishlist Icon","Badge text: white, 11px","","Low",""
"Desktop Header","Wishlist Icon","Hover: border color #469ADC","","Low",""
"Desktop Header","Wishlist Icon","Links to /wishlist/","","High",""
"Desktop Header","Cart Icon","Cart icon displays","","High",""
"Desktop Header","Cart Icon","Size: 44x44px","","Low",""
"Desktop Header","Cart Icon","Badge shows item count","","High",""
"Desktop Header","Cart Icon","Badge bg: #10C99E","","Low",""
"Desktop Header","Cart Icon","Badge: min 18px, circular","","Low",""
"Desktop Header","Cart Icon","Count updates correctly","","High",""
"Desktop Header","Cart Icon","Links to /cart/","","High",""
"Desktop Header","Navigation - SPORTS","Button text: SPORTS","","Medium",""
"Desktop Header","Navigation - SPORTS","Font: Jost, 15px, weight 500","","Low",""
"Desktop Header","Navigation - SPORTS","Color: #00aeef","","Low",""
"Desktop Header","Navigation - SPORTS","Hover: color #253461","","Low",""
"Desktop Header","Navigation - SPORTS","Arrow rotates on hover","","Low",""
"Desktop Header","Navigation - SPORTS","Mega menu opens on hover","","High",""
"Desktop Header","Navigation - SPORTS Mega Menu","Full width display","","Medium",""
"Desktop Header","Navigation - SPORTS Mega Menu","Background: white","","Low",""
"Desktop Header","Navigation - SPORTS Mega Menu","Box shadow visible","","Low",""
"Desktop Header","Navigation - SPORTS Mega Menu","Grid: 3 cols x 4 rows","","Medium",""
"Desktop Header","Navigation - SPORTS Mega Menu","All sport items listed","","High",""
"Desktop Header","Navigation - SPORTS Mega Menu","Icons display (17x17px)","","Medium",""
"Desktop Header","Navigation - SPORTS Mega Menu","Item height: 39px","","Low",""
"Desktop Header","Navigation - SPORTS Mega Menu","Hover: background #F5F5F5","","Low",""
"Desktop Header","Navigation - SPORTS Mega Menu","Hover: color #469ADC","","Low",""
"Desktop Header","Navigation - SPORTS Mega Menu","All links work","","High",""
"Desktop Header","Navigation - PRODUCTS","Button text: PRODUCTS","","Medium",""
"Desktop Header","Navigation - PRODUCTS","Same styling as SPORTS","","Low",""
"Desktop Header","Navigation - PRODUCTS","Mega menu opens on hover","","High",""
"Desktop Header","Navigation - PRODUCTS Mega Menu","All product categories listed","","High",""
"Desktop Header","Navigation - PRODUCTS Mega Menu","Icons display correctly","","Medium",""
"Desktop Header","Navigation - PRODUCTS Mega Menu","All links work","","High",""
"Desktop Header","Navigation - THEMES","Button text: THEMES","","Medium",""
"Desktop Header","Navigation - THEMES","Same styling as SPORTS","","Low",""
"Desktop Header","Navigation - THEMES","Mega menu opens on hover","","High",""
"Desktop Header","Navigation - THEMES Mega Menu","All theme categories listed","","High",""
"Desktop Header","Navigation - THEMES Mega Menu","Icons display correctly","","Medium",""
"Desktop Header","Navigation - THEMES Mega Menu","All links work","","High",""
"Desktop Header","Navigation - Direct Links","Blog link visible","","High",""
"Desktop Header","Navigation - Direct Links","About link visible (if present)","","Medium",""
"Desktop Header","Navigation - Direct Links","Color: #253461","","Low",""
"Desktop Header","Navigation - Direct Links","Hover: color #00aeef","","Low",""
"Desktop Header","Navigation - Direct Links","All links work","","High",""
"Desktop Header","Contact Button","Button text: CONTACT","","Medium",""
"Desktop Header","Contact Button","Background: #10C99E","","Low",""
"Desktop Header","Contact Button","Border radius: 50px","","Low",""
"Desktop Header","Contact Button","Padding: 10px 30px","","Low",""
"Desktop Header","Contact Button","Hover: background #0eb38c","","Low",""
"Desktop Header","Contact Button","Click opens popup","","High",""
"Homepage","Hero Slider","Multiple slides load","","High",""
"Homepage","Hero Slider","Images display correctly","","High",""
"Homepage","Hero Slider","Images high quality","","Medium",""
"Homepage","Hero Slider","Text overlays readable","","High",""
"Homepage","Hero Slider","CTA buttons visible","","High",""
"Homepage","Hero Slider","Previous arrow works","","High",""
"Homepage","Hero Slider","Next arrow works","","High",""
"Homepage","Hero Slider","Pagination dots display","","Medium",""
"Homepage","Hero Slider","Click dot changes slide","","Medium",""
"Homepage","Hero Slider","Autoplay works (~6 seconds)","","Medium",""
"Homepage","Hero Slider","Responsive: mobile images load","","High",""
"Homepage","Top Performer","Heading displays","","High",""
"Homepage","Top Performer","4 products display","","High",""
"Homepage","Top Performer","Grid responsive (4→2→1)","","High",""
"Homepage","Top Performer","Product images load","","High",""
"Homepage","Top Performer","Product names display","","High",""
"Homepage","Top Performer","Prices display (£XX.XX)","","High",""
"Homepage","Top Performer","View Product buttons work","","High",""
"Homepage","Top Performer","Click image goes to product","","High",""
"Homepage","Why Choose Us","Heading displays","","High",""
"Homepage","Why Choose Us","Feature blocks display","","High",""
"Homepage","Why Choose Us","Icons display","","Medium",""
"Homepage","Why Choose Us","Descriptions readable","","High",""
"Homepage","Why Choose Us","Responsive layout works","","High",""
"Homepage","Design Service","Heading displays","","High",""
"Homepage","Design Service","Description readable","","High",""
"Homepage","Design Service","CTA button visible","","High",""
"Homepage","Design Service","Button links correctly","","High",""
"Homepage","Design Service","Image loads correctly","","Medium",""
"Homepage","Hercules Merchandise","About text displays","","High",""
"Homepage","Hercules Merchandise","Text formatted properly","","Medium",""
"Homepage","Hercules Merchandise","Brand message clear","","Medium",""
"Homepage","Trust Logos","Heading displays","","High",""
"Homepage","Trust Logos","Multiple logos display (10-20+)","","High",""
"Homepage","Trust Logos","Logos grayscale or styled","","Medium",""
"Homepage","Trust Logos","Grid layout responsive","","Medium",""
"Homepage","Trust Logos","All logos load (no broken)","","High",""
"Homepage","Customer Reviews","Heading: What Customers Say About Us","","High",""
"Homepage","Customer Reviews","Highlight color: #469ADC","","Low",""
"Homepage","Customer Reviews - CRITICAL","Widget container loads","","Critical",""
"Homepage","Customer Reviews - CRITICAL","Rating: EXCELLENT displays","","Critical",""
"Homepage","Customer Reviews - CRITICAL","5 gold stars display","","Critical",""
"Homepage","Customer Reviews - KEY FIX","Text: Based on displays","","Critical","RECENTLY FIXED"
"Homepage","Customer Reviews - KEY FIX","Number: 135 displays","","Critical","RECENTLY FIXED"
"Homepage","Customer Reviews - KEY FIX","Text: reviews displays","","Critical","RECENTLY FIXED"
"Homepage","Customer Reviews - KEY FIX","Full phrase: Based on 135 reviews","","Critical","RECENTLY FIXED"
"Homepage","Customer Reviews","Google logo displays (not TrustIndex)","","High",""
"Homepage","Customer Reviews","Logo size: 150x25px","","Low",""
"Homepage","Customer Reviews","Individual review cards display","","High",""
"Homepage","Customer Reviews","Profile images load","","Medium",""
"Homepage","Customer Reviews","Reviewer names display","","High",""
"Homepage","Customer Reviews","Star ratings show per review","","Medium",""
"Homepage","Customer Reviews","Review text displays","","High",""
"Homepage","Customer Reviews","Read more link works","","Medium",""
"Homepage","Customer Reviews","Verified badge shows","","Medium",""
"Homepage","Customer Reviews","Next arrow works","","High",""
"Homepage","Customer Reviews","Previous arrow works","","High",""
"Homepage","Customer Reviews","Auto-play works (6 sec)","","Medium",""
"Homepage","Customer Reviews","Pagination dots display","","Medium",""
"Homepage","Customer Reviews","TrustIndex branding hidden","","Medium",""
"Homepage","Customer Reviews","Responsive on mobile","","High",""
"About Page","Page Load","Page loads without errors","","High",""
"About Page","Content","Heading displays","","High",""
"About Page","Content","Content readable","","High",""
"About Page","Content","Images load (if present)","","Medium",""
"About Page","Content","Links work","","High",""
"About Page","Responsive","Layout proper on mobile","","High",""
"Blog Index","Page Load","Page loads","","High",""
"Blog Index","Content","Post list displays","","High",""
"Blog Index","Content","Post thumbnails load","","High",""
"Blog Index","Content","Post titles display","","High",""
"Blog Index","Content","Post excerpts display","","Medium",""
"Blog Index","Content","Post dates display","","Medium",""
"Blog Index","Content","Read more links work","","High",""
"Blog Index","Pagination","Pagination works (if multi-page)","","Medium",""
"Blog Index","Responsive","Responsive on mobile","","High",""
"Blog Post","Page Load","Post loads","","High",""
"Blog Post","Content","Title displays","","High",""
"Blog Post","Content","Date/author info displays","","Medium",""
"Blog Post","Content","Featured image loads","","High",""
"Blog Post","Content","Post content formatted","","High",""
"Blog Post","Content","Images in content load","","High",""
"Blog Post","Content","Links in content work","","High",""
"Blog Post","Related Posts","Related posts display (if present)","","Medium",""
"Blog Post","Responsive","Responsive on mobile","","High",""
"Contact Page","Page Load","Page loads","","High",""
"Contact Page","Form","Contact form displays","","High",""
"Contact Page","Form","Name field present","","High",""
"Contact Page","Form","Email field present","","High",""
"Contact Page","Form","Message field present","","High",""
"Contact Page","Form","Required fields marked","","Medium",""
"Contact Page","Form","Submit button styled","","Medium",""
"Contact Page","Form","Validation works","","High",""
"Contact Page","Form","Submit sends message","","High",""
"Contact Page","Form","Success message displays","","High",""
"Contact Page","Form","Error messages display","","High",""
"Contact Page","Responsive","Responsive on mobile","","High",""
"Legal Pages","Delivery & Returns","Page loads","","High",""
"Legal Pages","Delivery & Returns","Content readable","","High",""
"Legal Pages","Delivery & Returns","Links work","","Medium",""
"Legal Pages","Payment Methods","Page loads","","High",""
"Legal Pages","Payment Methods","Payment logos display","","Medium",""
"Legal Pages","Payment Methods","Content explains options","","High",""
"Legal Pages","Legal Notice","Page loads","","High",""
"Legal Pages","Legal Notice","All sections display","","High",""
"Legal Pages","Privacy Policy","Page loads","","High",""
"Legal Pages","Privacy Policy","GDPR compliance info present","","High",""
"Legal Pages","Privacy Policy","Cookie policy mentioned","","High",""
"Legal Pages","Terms of Service","Page loads","","High",""
"Legal Pages","Terms of Service","All terms display","","High",""
"Wishlist Page","Page Load","Page loads","","High",""
"Wishlist Page","Empty State","Empty message if no items","","Medium",""
