"Section","Subsection","Item","Status","Priority","Notes"
"Wishlist Page","Empty State","CTA button to browse","","Medium",""
"Wishlist Page","With Items","All wishlist items display","","High",""
"Wishlist Page","With Items","Product images load","","High",""
"Wishlist Page","With Items","Product names display","","High",""
"Wishlist Page","With Items","Prices display","","High",""
"Wishlist Page","With Items","Remove button works","","High",""
"Wishlist Page","With Items","Add to cart button works","","High",""
"Wishlist Page","With Items","Item count updates","","High",""
"Wishlist Page","Persistence","Wishlist persists (localStorage/account)","","High",""
"Wishlist Page","Responsive","Responsive on mobile","","High",""
"Collection Pages","Page Load","Page loads for all collections","","High",""
"Collection Pages","Header","Heading displays collection name","","High",""
"Collection Pages","Header","Product count displays","","Medium",""
"Collection Pages","Filters","Price range filter works","","Medium",""
"Collection Pages","Filters","Category filters work","","Medium",""
"Collection Pages","Filters","Apply button works","","Medium",""
"Collection Pages","Filters","Clear filters works","","Medium",""
"Collection Pages","Sorting","Sort dropdown displays","","Medium",""
"Collection Pages","Sorting","Price: Low to High works","","Medium",""
"Collection Pages","Sorting","Price: High to Low works","","Medium",""
"Collection Pages","Sorting","URL updates with sort parameter","","Low",""
"Collection Pages","Product Grid","Products display in grid","","High",""
"Collection Pages","Product Grid","Grid responsive (4→3→2→1)","","High",""
"Collection Pages","Product Grid","All cards functional","","High",""
"Collection Pages","Pagination","Pagination displays (if multi-page)","","Medium",""
"Collection Pages","Pagination","Previous button works","","Medium",""
"Collection Pages","Pagination","Next button works","","Medium",""
"Collection Pages","Pagination","Page numbers work","","Medium",""
"Collection Pages","Specific Collections","/collections/custom-scarves/ works","","High",""
"Collection Pages","Specific Collections","/collections/football/ works","","High",""
"Collection Pages","Specific Collections","/collections/rugby/ works","","High",""
"Collection Pages","Specific Collections","Test at least 5-10 collections","","High",""
"Product Page","Main Image","Large image displays","","High",""
"Product Page","Main Image","High quality (not pixelated)","","High",""
"Product Page","Main Image","Correct aspect ratio","","Medium",""
"Product Page","Main Image","Zoom on hover/click works","","Medium",""
"Product Page","Image Gallery","Thumbnail images display","","High",""
"Product Page","Image Gallery","Click thumbnail changes main","","High",""
"Product Page","Image Gallery","Active thumbnail highlighted","","Medium",""
"Product Page","Image Gallery","All images load","","High",""
"Product Page","Product Name","Displays prominently","","High",""
"Product Page","Product Name","Font large and bold","","Medium",""
"Product Page","Price","Regular price displays: £XX.XX","","High",""
"Product Page","Price","Sale price styled differently","","Medium",""
"Product Page","Price","Original price strikethrough","","Medium",""
"Product Page","Description","Full description displays","","High",""
"Product Page","Description","Formatted properly","","High",""
"Product Page","Description","Links work","","Medium",""
"Product Page","Attributes","SKU displays (if applicable)","","Medium",""
"Product Page","Attributes","Stock status displays","","High",""
"Product Page","Attributes","Categories/tags display","","Medium",""
"Product Page","Configurator","Size dropdown works","","High",""
"Product Page","Configurator","Color swatches work","","Medium",""
"Product Page","Configurator","Quantity selector works","","High",""
"Product Page","Configurator","Plus button increases qty","","High",""
"Product Page","Configurator","Minus button decreases qty","","High",""
"Product Page","Configurator","Can't go below 1","","Medium",""
"Product Page","Configurator","Custom text fields work","","Medium",""
"Product Page","Configurator","File upload works","","Medium",""
"Product Page","Configurator","Price updates live","","High",""
"Product Page","Add to Cart","Button displays prominently","","High",""
"Product Page","Add to Cart","Background: #10C99E, text white","","Low",""
"Product Page","Add to Cart","Hover state works","","Medium",""
"Product Page","Add to Cart","Click adds to cart","","High",""
"Product Page","Add to Cart","Disabled if out of stock","","High",""
"Product Page","Add to Cart","Loading state shows","","Medium",""
"Product Page","Add to Cart","Success feedback after add","","High",""
"Product Page","Add to Cart","Cart badge count updates","","High",""
"Product Page","Wishlist Button","Button displays (heart icon)","","High",""
"Product Page","Wishlist Button","Click adds to wishlist","","High",""
"Product Page","Wishlist Button","Icon fills when in wishlist","","Medium",""
"Product Page","Wishlist Button","Wishlist count updates","","High",""
"Product Page","Tabs/Accordion","Tab headers display","","Medium",""
"Product Page","Tabs/Accordion","Click tab switches content","","Medium",""
"Product Page","Tabs/Accordion","Active tab highlighted","","Low",""
"Product Page","Specifications","Table displays (if applicable)","","Medium",""
"Product Page","Specifications","Data accurate","","High",""
"Product Page","Shipping Info","Delivery time displays","","Medium",""
"Product Page","Shipping Info","Shipping costs mentioned","","Medium",""
"Product Page","Related Products","Section displays","","Medium",""
"Product Page","Related Products","3-4 products display","","Medium",""
"Product Page","Related Products","Cards functional","","High",""
"Product Page","Related Products","Links go to correct products","","High",""
"Product Page","Badges","New badge (if new product)","","Low",""
"Product Page","Badges","Sale badge (if on sale)","","Medium",""
"Product Page","Badges","Out of Stock overlay","","High",""
"Product Page","Badges","Made in Europe badge","","Low",""
"Product Page","Responsive","Desktop: side-by-side layout","","High",""
"Product Page","Responsive","Mobile: stacked layout","","High",""
"Product Page","Responsive","Touch interactions work","","High",""
"Cart Page","Page Load","Page loads (WordPress)","","High",""
"Cart Page","Content","All cart items display","","High",""
"Cart Page","Content","Item images load","","High",""
"Cart Page","Content","Item names display","","High",""
"Cart Page","Content","Item prices display","","High",""
"Cart Page","Content","Quantities display","","High",""
"Cart Page","Actions","Quantity can be updated","","High",""
"Cart Page","Actions","Remove item button works","","High",""
"Cart Page","Calculations","Subtotal calculates correctly","","High",""
"Cart Page","Calculations","Tax calculates correctly","","High",""
"Cart Page","Calculations","Shipping calculates correctly","","High",""
"Cart Page","Calculations","Total calculates correctly","","High",""
"Cart Page","Coupon","Coupon code field present","","Medium",""
"Cart Page","Coupon","Apply coupon works","","Medium",""
"Cart Page","Coupon","Invalid coupon shows error","","Medium",""
"Cart Page","Coupon","Valid coupon applies discount","","High",""
"Cart Page","Navigation","Proceed to Checkout button works","","High",""
"Cart Page","Navigation","Continue Shopping link works","","Medium",""
"Cart Page","Empty State","Empty cart shows message","","Medium",""
"Cart Page","Responsive","Responsive on mobile","","High",""
"Checkout Page","Page Load","Page loads (WordPress)","","High",""
"Checkout Page","Order Summary","Order summary displays","","High",""
"Checkout Page","Billing Form","All fields present","","High",""
"Checkout Page","Billing Form","Required fields marked","","High",""
"Checkout Page","Billing Form","Validation works","","High",""
"Checkout Page","Billing Form","Error messages clear","","High",""
"Checkout Page","Shipping Methods","Available methods display","","High",""
"Checkout Page","Shipping Methods","Radio buttons work","","High",""
"Checkout Page","Shipping Methods","Selecting updates total","","High",""
"Checkout Page","Payment Methods","Available methods display","","High",""
"Checkout Page","Payment Methods","Radio buttons work","","High",""
"Checkout Page","Payment Methods","Card fields display","","High",""
"Checkout Page","Payment Methods","PayPal button displays","","Medium",""
"Checkout Page","Order Review","Items list displays","","High",""
"Checkout Page","Order Review","Subtotal correct","","High",""
"Checkout Page","Order Review","Shipping cost correct","","High",""
"Checkout Page","Order Review","Tax correct","","High",""
"Checkout Page","Order Review","Total correct","","High",""
"Checkout Page","Terms","Checkbox present","","High",""
"Checkout Page","Terms","Link to terms opens","","High",""
"Checkout Page","Terms","Can't submit without checking","","High",""
"Checkout Page","Place Order","Button displays prominently","","High",""
"Checkout Page","Place Order","Disabled until form valid","","High",""
"Checkout Page","Place Order","Click submits order","","High",""
"Checkout Page","Place Order","Loading state shows","","High",""
"Checkout Page","Place Order","Redirects on success","","High",""
"Checkout Page","Place Order","Error message on failure","","High",""
"Checkout Page","Security","SSL/HTTPS active","","High",""
"Checkout Page","Security","Payment fields secured","","High",""
"Checkout Page","Responsive","Responsive on mobile","","High",""
"My Account","Dashboard","Page loads (WordPress)","","High",""
"My Account","Dashboard","Dashboard displays for logged-in","","High",""
"My Account","Dashboard","Login form for logged-out","","High",""
"My Account","Login","Email/username field","","High",""
"My Account","Login","Password field","","High",""
"My Account","Login","Remember me checkbox","","Low",""
"My Account","Login","Lost password link works","","Medium",""
"My Account","Login","Login button works","","High",""
"My Account","Login","Validation errors display","","High",""
"My Account","Login","Success redirects to dashboard","","High",""
"My Account","Registration","Email field","","High",""
"My Account","Registration","Password field","","High",""
"My Account","Registration","Register button works","","High",""
"My Account","Registration","Validation works","","High",""
"My Account","Registration","Success creates account","","High",""
"My Account","Navigation","Dashboard link","","High",""
"My Account","Navigation","Orders link","","High",""
"My Account","Navigation","Addresses link","","High",""
"My Account","Navigation","Account details link","","High",""
"My Account","Navigation","Logout link","","High",""
"My Account","Orders","Past orders list","","High",""
"My Account","Orders","Order numbers display","","High",""
"My Account","Orders","Order dates display","","High",""
"My Account","Orders","Order statuses display","","High",""
"My Account","Orders","View button works","","High",""
"My Account","Addresses","Billing address displays","","High",""
"My Account","Addresses","Shipping address displays","","High",""
"My Account","Addresses","Edit buttons work","","High",""
"My Account","Addresses","Save updates address","","High",""
"My Account","Account Details","Current email displays","","High",""
"My Account","Account Details","Name fields display","","High",""
"My Account","Account Details","Password change works","","High",""
"My Account","Account Details","Save button works","","High",""
"My Account","Logout","Logout link visible","","High",""
"My Account","Logout","Click logs out user","","High",""
"My Account","Logout","Redirects appropriately","","High",""
"Search","Global Search","Search input in header works","","High",""
"Search","Global Search","Search overlay works (mobile)","","High",""
"Search","Global Search","Typing triggers instant search","","High",""
"Search","Global Search","Results dropdown displays","","High",""
"Search","Results","Product images show","","High",""
"Search","Results","Product names show","","High",""
"Search","Results","Product prices show","","High",""
"Search","Results","Clicking result goes to product","","High",""
"Search","Results","No results message displays","","Medium",""
"Search","Results","Clear search button works","","Medium",""
"Search","Results","ESC key closes dropdown","","Medium",""
"Search","Results","Click outside closes dropdown","","Medium",""
"Contact Popups","Desktop Trigger","Button displays: CONTACT","","High",""
"Contact Popups","Desktop Trigger","Background: green #10C99E","","Low",""
"Contact Popups","Desktop Trigger","Click opens popup","","High",""
"Contact Popups","Popup Modal","Modal overlays page","","High",""
"Contact Popups","Popup Modal","Dark backdrop behind","","Medium",""
"Contact Popups","Popup Modal","Modal centered","","Medium",""
"Contact Popups","Popup Modal","Close button visible","","High",""
"Contact Popups","Popup Modal","Click X closes","","High",""
"Contact Popups","Popup Modal","Click backdrop closes","","Medium",""
"Contact Popups","Popup Modal","ESC key closes","","Medium",""
"Contact Popups","Form in Popup","Heading displays","","Medium",""
"Contact Popups","Form in Popup","Name field","","High",""
"Contact Popups","Form in Popup","Email field","","High",""
"Contact Popups","Form in Popup","Message field","","High",""
"Contact Popups","Form in Popup","Required fields marked","","Medium",""
"Contact Popups","Form in Popup","Submit button styled","","Medium",""
"Contact Popups","Form in Popup","Validation works","","High",""
"Contact Popups","Form in Popup","Submit sends message","","High",""
"Contact Popups","Form in Popup","Success message displays","","High",""
"Contact Popups","Form in Popup","Loading state shows","","Medium",""
"Contact Popups","Mobile Trigger","Mail icon button in header","","High",""
"Contact Popups","Mobile Trigger","Background: green","","Low",""
"Contact Popups","Mobile Trigger","Click opens popup","","High",""
"Contact Popups","Mobile Popup","Full screen on mobile","","Medium",""
"Contact Popups","Mobile Popup","Form displays properly","","High",""
"Contact Popups","Mobile Popup","All elements functional","","High",""
"Cookie Consent","Banner Display","Banner displays on first visit","","High",""
"Cookie Consent","Banner Display","Position: bottom of screen","","Medium",""
"Cookie Consent","Banner Display","Text readable","","High",""
"Cookie Consent","Banner Content","Message explains cookies","","High",""
"Cookie Consent","Banner Content","Link to Privacy Policy","","High",""
"Cookie Consent","Buttons","Accept button visible","","High",""
"Cookie Consent","Buttons","Click Accept sets cookie","","High",""
"Cookie Consent","Buttons","Banner hides after acceptance","","High",""
"Cookie Consent","Buttons","Decline button (if present)","","Medium",""
"Cookie Consent","Buttons","Customize button (if present)","","Medium",""
"Cookie Consent","Persistence","Consent choice remembered","","High",""
"Cookie Consent","Persistence","Banner doesn't reappear","","High",""
"Footer","Newsletter Section","Section displays","","High",""
"Footer","Newsletter Section","Heading: Interested?","","Medium",""
"Footer","Newsletter Form","Email input field","","High",""
"Footer","Newsletter Form","Placeholder visible","","Medium",""
"Footer","Newsletter Form","Send button visible","","High",""
"Footer","Newsletter Form","Validation works","","High",""
"Footer","Newsletter Form","Submit works","","High",""
"Footer","Newsletter Form","Success message displays","","High",""
"Footer","Newsletter Form","Error message displays","","High",""
"Footer","Newsletter Description","Description text displays","","Medium",""
"Footer","Logo Column","Hercules logo displays","","High",""
"Footer","Logo Column","Logo links to homepage","","High",""
"Footer","Logo Column","Logo size: 176x78px","","Low",""
"Footer","About Us Column","Heading: About Us","","Medium",""
"Footer","About Us Column","About Us link works","","High",""
"Footer","About Us Column","Blog link works","","High",""
"Footer","About Us Column","Delivery & Returns link works","","High",""
"Footer","About Us Column","Payment Methods link works","","High",""
"Footer","About Us Column","Contact link works","","High",""
"Footer","About Us Column","My Account link works","","High",""
"Footer","Sports Column","Heading: Sports","","Medium",""
"Footer","Sports Column","Football link works","","High",""
"Footer","Sports Column","Rugby link works","","High",""
"Footer","Sports Column","Basketball link works","","High",""
"Footer","Sports Column","Running link works","","High",""
"Footer","Sports Column","Cycling link works","","High",""
"Footer","Sports Column","Volleyball link works","","High",""
"Footer","Products Column","Heading: Products","","Medium",""
"Footer","Products Column","Scarves link works","","High",""
"Footer","Products Column","Beanies link works","","High",""
"Footer","Products Column","Sportswear link works","","High",""
"Footer","Products Column","Pennants link works","","High",""
"Footer","Products Column","Accessories link works","","High",""
"Footer","Products Column","Tifo link works","","High",""
"Footer","Reseller Column","Heading displays","","Medium",""
"Footer","Reseller Column","Text: We offer bulk discounts","","Medium",""
"Footer","Reseller Column","Contact button displays","","High",""
"Footer","Reseller Column","Button opens popup","","High",""
"Footer","Reseller Column","Phone number displays","","High",""
"Footer","Reseller Column","Phone icon visible","","Medium",""
"Footer","Reseller Column","Phone link works (tel:)","","High",""
"Footer","Bottom Bar","Copyright text displays","","Medium",""
"Footer","Bottom Bar","Privacy Policy link works","","High",""
"Footer","Bottom Bar","Terms of Service link works","","High",""
"Footer","Bottom Bar","Legal Notice link works","","High",""
"Footer","Responsive","Desktop: 5 columns","","Medium",""
"Footer","Responsive","Tablet: 2-3 columns","","Medium",""
"Footer","Responsive","Mobile: 1 column stacked","","High",""
"Footer","Responsive","No horizontal scroll","","High",""
"Performance","Homepage Load","Loads in under 3 seconds","","High",""
"Performance","Homepage Load","First Contentful Paint < 1.8s","","Medium",""
"Performance","Homepage Load","Largest Contentful Paint < 2.5s","","Medium",""
"Performance","Images","Images use WebP/AVIF format","","Medium",""
"Performance","Images","Lazy loading implemented","","High",""
"Performance","Images","Alt text present on all","","High",""
"Performance","Images","No broken image links","","High",""
"Performance","Fonts","Fonts load without FOUT","","Medium",""
"Performance","Fonts","Font files optimized (WOFF2)","","Low",""
"Performance","JavaScript","No JS errors in console","","High",""
"Performance","JavaScript","React hydration works","","High",""
"Performance","JavaScript","Interactive components functional","","High",""
"Performance","CSS","Styles load correctly","","High",""
"Performance","CSS","No Flash of Unstyled Content","","Medium",""
"SEO","Technical","robots.txt present and correct","","High",""
"SEO","Technical","Sitemap.xml accessible","","High",""
"SEO","Technical","Canonical URLs set correctly","","High",""
"SEO","Technical","Structured data present (JSON-LD)","","Medium",""
"SEO","Technical","Product schema on products","","Medium",""
"SEO","Technical","Review schema present","","Medium",""
"SEO","Technical","Open Graph tags present","","Medium",""
"SEO","Technical","Twitter Card tags present","","Medium",""
"SEO","Technical","Title tags unique per page","","High",""
"SEO","Technical","Meta descriptions unique","","High",""
"SEO","Technical","Headings hierarchy correct","","Medium",""
"Accessibility","Keyboard Nav","All elements reachable via Tab","","High",""
"Accessibility","Keyboard Nav","Tab order logical","","High",""
"Accessibility","Keyboard Nav","Enter/Space activate buttons","","High",""
"Accessibility","Keyboard Nav","ESC closes modals","","Medium",""
"Accessibility","Keyboard Nav","Focus indicators visible","","High",""
"Accessibility","Screen Reader","Alt text on images","","High",""
"Accessibility","Screen Reader","ARIA labels on icon buttons","","High",""
"Accessibility","Screen Reader","Form labels associated","","High",""
"Accessibility","Color Contrast","Text readable (WCAG AA)","","High",""
"Accessibility","Color Contrast","Link colors distinguishable","","Medium",""
"Accessibility","Color Contrast","Button text readable","","High",""
"Accessibility","Forms","Labels visible or aria-label","","High",""
"Accessibility","Forms","Required fields indicated","","High",""
"Accessibility","Forms","Error messages clear","","High",""
"Security","HTTPS","HTTPS everywhere","","High",""
"Security","HTTPS","SSL certificate valid","","High",""
"Security","HTTPS","No mixed content warnings","","High",""
"Security","Forms","CSRF protection","","High",""
"Security","Forms","XSS protection","","High",""
"Security","Passwords","Password fields masked","","High",""
"Browser Compatibility","Chrome Latest","Site works correctly","","High",""
"Browser Compatibility","Chrome Latest","No console errors","","High",""
"Browser Compatibility","Firefox Latest","Site works correctly","","High",""
"Browser Compatibility","Safari Latest","Site works correctly","","High",""
"Browser Compatibility","Edge Latest","Site works correctly","","High",""
"Device Testing","Desktop","1920x1080 (Full HD)","","High",""
"Device Testing","Desktop","1366x768 (laptop)","","High",""
"Device Testing","Tablet","iPad (768x1024)","","High",""
"Device Testing","Tablet","iPad Pro (1024x1366)","","Medium",""
"Device Testing","Mobile","iPhone SE (375x667)","","High",""
"Device Testing","Mobile","iPhone 13 (390x844)","","High",""
"Device Testing","Mobile","Samsung Galaxy (412x915)","","High",""
"Device Testing","Landscape","Tablet landscape works","","Medium",""
"Device Testing","Landscape","Mobile landscape works","","Medium",""
"Analytics","Google Analytics","GA code present on all pages","","High",""
"Analytics","Google Analytics","Pageviews tracking","","High",""
"Analytics","Google Analytics","Events tracking","","Medium",""
"Analytics","Google Analytics","E-commerce tracking","","Medium",""
"Analytics","GTM","GTM container loads","","Medium",""
"Analytics","GTM","Tags firing correctly","","Medium",""
"Design","Colors","Primary color #253461 consistent","","Medium",""
"Design","Colors","Accent color #10C99E consistent","","Medium",""
"Design","Colors","Link color #00AEEF consistent","","Medium",""
"Design","Typography","Jost font loads for headings","","Medium",""
"Design","Typography","Font sizes consistent","","Low",""
"Design","Typography","Font weights consistent","","Low",""
"Design","Spacing","Consistent padding in sections","","Low",""
"Design","Spacing","Consistent margins","","Low",""
"Design","Buttons","All buttons styled consistently","","Medium",""
"Design","Buttons","Primary CTA: green, 50px radius","","Low",""
"Design","Buttons","Hover states consistent","","Low",""
"Design","Forms","All inputs styled consistently","","Medium",""
"Design","Forms","Border: 1px solid #253461","","Low",""
"Design","Forms","Border radius: 15px","","Low",""
"Design","Forms","Focus state works","","Medium",""
"Final Checks","Pre-Launch","All pages reviewed","","High",""
"Final Checks","Pre-Launch","All links tested","","High",""
"Final Checks","Pre-Launch","All forms tested","","High",""
"Final Checks","Pre-Launch","Contact info correct","","High",""
"Final Checks","Pre-Launch","Prices correct","","High",""
"Final Checks","Pre-Launch","Product info accurate","","High",""
"Final Checks","Pre-Launch","Images high quality","","High",""
"Final Checks","Pre-Launch","No placeholder content","","High",""
"Final Checks","Pre-Launch","Analytics working","","High",""
"Final Checks","Pre-Launch","SSL certificate installed","","High",""
"Final Checks","Post-Launch","Monitor error logs (24 hours)","","High",""
"Final Checks","Post-Launch","Check analytics data","","High",""
"Final Checks","Post-Launch","Test ordering flow (real)","","High",""
"Final Checks","Post-Launch","Monitor server performance","","Medium",""
"Final Checks","Post-Launch","Check email deliverability","","High",""
